y x
 -7.76738 -1.86043
-13.12313 -2.06980
 -5.42396  0.14379
 -1.13558 -0.17411
 -0.61918 -0.51307
 -1.86825 -1.16596
 -0.85518  0.55222
  0.26372 -0.67841
 -1.75393 -0.85792
 -5.44386 -1.11100
  1.12585 -1.03178
 -0.13397 -0.67247
  3.14331 -0.53092
 -6.72227 -1.61783
 -8.19982 -2.08146
  0.43750 -0.94760
 -2.16674 -1.00463
  5.38849 -1.02303
  0.42049 -0.06094
 -3.13134 -1.30231
  1.38911  0.62010
 -2.58343  0.16661
  3.44597  0.58991
 -2.36117 -1.65981
 -1.93732 -0.98162
-15.11893 -2.41952
  0.59359 -1.12206
 -5.98437 -2.10844
  1.35397 -0.68803
 -0.42268 -1.03555
  0.53220 -0.20683
 -6.33452 -1.73007
 -4.59468 -0.94212
 -3.14485 -1.20711
 -2.24291 -1.26206
  1.96637  0.17523
 -4.53013  0.36906
 -0.66793  1.11355
 -1.49318  0.59486
 -3.03418 -1.18718
  0.52599  0.13826
 -2.34784 -1.67944
-10.47919 -2.12442
 -0.12159 -0.70139
  2.02956  0.75367
 -2.45132 -0.39074
  3.58302  0.03666
  2.33765 -0.57526
 -5.32580 -0.44230
 -1.27651  0.39064
  0.59845 -0.88427
 -3.14783 -0.85026
 -2.42172 -0.03060
  2.11270  0.92499
-11.35405 -2.36148
 -4.43614  0.27474
  0.59391 -0.00227
 -3.60024 -1.70207
 -5.54630 -1.64520
 -1.97865  0.97392
  4.08859 -0.33355
 -1.72993  0.36436
 -3.37896 -1.30274
  3.96342 -1.37341
 -3.23787 -1.53451
  4.76859 -0.33545
 -4.09802  0.34670
-13.45217 -2.23067
  2.32354  0.26698
 -3.88380 -1.47554
 -3.25359 -0.92025
  4.75496 -0.45497
 -1.57106 -0.02978
 -1.06602 -1.24853
 -5.53260 -1.38864
  2.72388  0.57205
-12.79410 -2.49033
 -1.44174 -0.22698
 -1.21215 -0.77496
 -3.09105 -0.01328
-10.26371 -1.65288
 -7.20540 -1.73179
 -0.21144 -1.22941
 -3.43105 -1.78428
 -1.82226 -0.58810
 -7.88614 -2.08289
 -4.76099 -1.91346
  3.25942  1.17330
 -2.82814 -0.35586
 -3.57469 -0.33275
 -5.78328 -1.98052
 -7.82447 -1.29371
 -3.95027 -1.32964
 -2.03464 -0.21785
 -1.75804  0.61781
 -2.38075 -1.61338
 -1.66925 -0.69402
  1.31479 -0.73013
 -9.95543 -2.16206
  0.48857  0.14376
  5.59294  1.31743
 -5.91697 -1.82875
 -0.16463 -1.12949
  1.29471 -0.21495
 -4.36628 -1.89832
  0.71232 -0.21535
-12.80938 -2.35485
  2.99212  0.91446
 -4.19306 -1.68537
  4.42582  1.19295
 -6.58121 -1.89257
 -7.21042 -1.95768
 -6.25954 -1.10073
 -2.75031 -1.38407
  0.58578 -0.01243
 -1.41650 -1.29683
-17.32946 -2.36333
 -1.84381 -1.72458
 -1.03891  0.54410
  4.27549 -0.59141
 -7.06052 -2.20574
  0.60455 -0.36959
 -2.09015 -1.41019
 -1.06938 -0.01766
 -4.25780 -0.30217
 -6.60377 -1.29738
-10.15884 -2.13404
 -0.25615 -0.47807
 -3.06792  0.02547
 -7.89478 -2.16687
 -4.02203 -0.39461
 -6.82972 -1.77138
  0.69124 -1.13006
  4.35595  0.88006
  2.81098  0.03395
  0.00766  0.15979
  1.76019  0.25926
 -1.93821  0.14112
 -2.40438 -0.67777
  3.60178 -0.80888
 -3.08510 -0.76420
 -1.34378 -0.74853
 -2.21194 -1.75138
 -0.99541 -0.41707
  4.04986 -0.55708
  2.20924  0.18031
  1.96383  0.38368
 -3.63285 -1.52738
 -1.47729  0.17561
  1.56462  0.01739
  1.11227 -1.41781
-12.15972 -2.21199
  2.67182 -0.89639
 -8.40210 -1.81206
 -3.02805 -1.36208
 -4.43042 -1.22677
  1.87967 -0.91894
  1.42079 -0.40890
 -0.82045 -0.79477
 -4.45438 -1.07053
 -0.83132 -0.99851
  0.34244 -1.00161
 -7.55334 -1.51390
  2.12293 -0.29708
 -1.49559  0.76834
 -6.34885 -1.62104
 -0.27653 -1.10496
  0.06745 -1.03525
 -0.89516 -1.24217
  1.48358  0.41633
 -0.09370 -0.03550
 -0.91880 -1.32748
 -0.86659 -0.17703
 -6.22551 -1.08081
 -4.76771 -1.61683
  4.14760 -0.87401
  0.17610 -0.12227
  1.16411 -1.45471
 -7.80147 -1.53985
 -0.40596  0.15216
 -1.64290 -1.28885
 -5.06921 -1.64421
  1.51123 -0.06917
-10.73504 -1.95979
  2.23423  0.16211
 -1.35267  0.22529
  0.55482 -0.06674
 -5.67080 -2.04631
 -1.74474 -0.88826
-13.72134 -2.11837
 -6.29361 -1.50800
 -3.81854 -0.85697
 -2.14141  0.15758
  4.96794  0.46479
 -7.20175 -1.78944
 -8.30668 -1.94107
 -0.97061 -0.71874
  1.73851 -0.12162
  0.68164 -0.95597
 -5.23003 -1.59323
